session_id,mean_hold_time,std_hold_time,mean_flight_time,std_flight_time,typing_speed,error_rate,sentiment_polarity,sentiment_subjectivity,label
SID_0000,162.41785382528082,12.881201589886484,69.82257904269167,9.569730350623212,5.3482862476668185,3.341747057493964,0.6637372296476565,0.7197532275898569,1
SID_0001,146.5433924707204,12.732929458080733,75.41750805419521,9.90203228877907,5.283323592535666,3.024510861263083,0.7632875103618695,0.5779020776340305,0
SID_0002,166.1922134525173,6.0217841368499245,71.03928408432286,10.192884635762743,4.063480154194509,2.137689867165271,-0.1334991524546505,0.5278800803820984,0
SID_0003,188.07574641020065,13.349549041492814,81.6562707041918,12.84058438493854,5.579584221763739,2.9949466783044256,-0.2506239585462106,0.5755640415639253,0
SID_0004,144.1461656319166,18.664145409108723,97.95767797192867,7.758348074539769,3.509917324423382,3.981683250985887,0.2253978940379299,0.5841353122764598,1
SID_0005,144.1465760762705,8.628839404616024,68.43436764288194,7.46095902546202,4.345815674239671,2.747675742042321,-0.884051107884174,0.7657404242045314,1
SID_0006,189.4803203876848,20.242413255252963,95.0123074665262,13.709859226428923,3.000912187102192,3.839535260460548,0.3826463211351942,0.668082027315009,1
SID_0007,169.18586822882273,17.43887410542169,68.27491891479669,8.612065774356106,6.558626516962814,1.3266624431539051,0.5645752107544937,0.9573142486820682,0
SID_0008,138.2631403516262,11.32883339014481,67.28559181254674,6.210893939268802,4.768450506054704,1.7922126977085904,-0.2051161454856567,0.9479630180564332,0
SID_0009,163.5640010896491,14.292351813310765,92.2789192751482,8.54461017370039,7.166884034816311,1.5313589934520493,-0.6507682999852071,0.4219228496782296,1
SID_0010,138.41455767968844,22.99160903820517,93.82904567011424,9.009841794267995,5.802949926519495,1.869737256415187,-0.942363249718273,0.0357226095119104,1
SID_0011,138.35675616074357,18.66773906752933,92.77114905143982,14.664888183177291,5.448098213351025,5.574362093412183,0.2744911989741998,0.0110747822187272,1
SID_0012,156.04905678915085,15.04391827449074,60.26303887672788,12.774478637130212,4.413772305719001,4.452077586220721,-0.4620131867301804,0.1231934048878777,1
SID_0013,102.16799388355506,13.81158341519508,73.01073532891924,13.442561849896729,3.953649964312581,0.8461537626313089,-0.0722208257574315,0.0748973988980955,1
SID_0014,106.87705418717418,15.383045352258298,92.34482888004982,12.459920927040358,5.522971573896945,3.87499659281691,-0.2272889566849383,0.3733660489708685,0
SID_0015,135.94281176897567,12.441182210288485,80.62312760845842,12.838731014845942,4.928485990727018,2.21883537470286,-0.6502304081050747,0.0528745988840029,0
SID_0016,124.6792219916394,4.476252471404926,63.89460730703804,7.935753620259046,3.660729684514699,1.635230829056869,0.0167373369214081,0.624914036137118,1
SID_0017,157.85618331488186,25.210889552673656,86.87476908688163,9.404193533939546,3.4831415834916815,0.0285210685549861,-0.0808129545185241,0.1901742259952772,1
SID_0018,127.29939811196972,15.776624995997008,69.27789111512794,7.030254060929353,4.041296270856416,4.943837387640489,0.2482952457396645,0.5139653185695876,1
SID_0019,114.69240746661772,16.990736325612687,106.91787272588316,9.3685359083889,6.82096722526623,0.272273700665723,-0.4962300109404265,0.1030787826337351,0
SID_0020,186.6412192230389,14.710461250615456,103.17262193627388,12.052314972804222,7.213277918011304,2.8960736439802512,-0.5707218402931884,0.827729065828292,0
SID_0021,144.35559248783662,11.32441599637706,89.06146139533351,10.40374985443674,5.204989147308909,1.1073775085502624,0.6286901195129442,0.779958828193316,0
SID_0022,151.6882051171981,14.070377595256147,100.4151005715466,13.934442456880886,5.148942796241289,4.5516878941398495,0.404384489928083,0.3864872210513953,1
